marque,info,type_carburant,kilometrage,annee,prix
21,384,1,26990,2022,34890
17,84,1,5978,2023,34900
21,188,0,31839,2022,34900
21,174,0,7854,2022,34900
0,33,1,9900,2022,34900
0,39,2,9900,2023,34900
21,409,0,47949,2021,34950
21,372,2,20119,2023,34990
17,79,1,1000,2023,34990
21,139,0,19501,2022,34990
21,372,2,16010,2023,34990
21,156,1,46035,2021,34990
21,428,1,46250,2022,34990
3,127,2,9900,2023,34990
3,127,2,512,2023,34990
17,74,2,11292,2023,34990
3,128,2,10814,2023,34990
0,296,1,74778,2020,34990
0,296,1,82404,2020,34990
12,105,1,15559,2022,34990
17,86,1,13600,2023,35220
3,223,2,100,2023,35400
21,389,1,7975,2023,35490
3,223,2,2169,2023,35490
21,372,2,12201,2022,35490
21,173,0,15903,2022,35850
21,391,1,87574,2019,35900
0,41,0,43608,2021,35900
0,42,0,34397,2021,35900
21,185,0,17335,2020,35950
21,403,2,15,2023,35990
21,188,0,10099,2022,35990
21,372,2,10875,2023,35990
21,188,0,8500,2022,35990
21,188,0,9956,2022,35990
21,372,2,6897,2023,35990
17,74,2,18294,2023,35990
21,386,2,31928,2021,35990
21,384,1,21225,2022,35990
0,283,1,17826,2022,35990
0,37,2,8472,2019,35990
21,416,2,10627,2022,36250
21,147,2,10000,2024,36300
18,212,2,10975,2023,36490
3,127,2,9900,2023,36490
17,74,2,13677,2023,36690
21,387,2,9000,2023,36850
0,296,1,72029,2020,36900
0,25,2,13402,2022,36900
3,123,0,6000,2023,36990
3,129,2,10000,2023,36990
21,372,2,24265,2023,36990
21,409,0,41285,2021,36990
17,80,1,21843,2023,36990
21,238,1,9895,2022,36990
21,430,1,25439,2022,36990
0,30,1,5000,2022,36990
21,383,1,10,2023,37850
21,185,0,35428,2020,37900
21,147,2,10000,2023,37900
0,278,1,1923,2020,37900
0,299,2,99306,2019,37900
0,15,2,9990,2024,37989
21,415,2,21220,2022,37990
21,415,2,19520,2022,37990
3,225,1,3010,2023,37990
17,406,1,26575,2023,37990
21,382,1,21737,2022,37990
21,181,0,9969,2022,37990
0,305,1,109253,2019,37990
1,458,1,96746,2017,37990
21,147,2,3900,2023,38490
